madsrdf,"http://www.loc.gov/mads/rdf/v1#"
bflc,"http://id.loc.gov/ontologies/bflc/"
foaf,"http://xmlns.com/foaf/0.1/"
rdf,"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
dbo,"http://dbpedia.org/ontology/"
rdfs,"http://www.w3.org/2000/01/rdf-schema#"
yago,"http://yago-knowledge.org/resource/"
dc,"http://purl.org/dc/elements/1.1/"
dbp,"http://dbpedia.org/property/"
owl,"http://www.w3.org/2002/07/owl#"
gr,"http://purl.org/goodrelations/v1#"
ex,"http://example.org/"
skos,"http://www.w3.org/2004/02/skos/core#"
geo,"http://www.opengis.net/ont/geosparql#"
spacerel,"http://data.ordnancesurvey.co.uk/ontology/spatialrelations/"
xsd,"http://www.w3.org/2001/XMLSchema#"
dcat,"http://www.w3.org/ns/dcat#"
org,"http://www.w3.org/ns/org#"
dct,"http://purl.org/dc/terms/"
dcterms,"http://purl.org/dc/terms/"
qb,"http://purl.org/linked-data/cube#"
prov,"http://www.w3.org/ns/prov#"
sioc,"http://rdfs.org/sioc/ns#"
xtypes,"http://purl.org/xtypes/"
dbpedia,"http://dbpedia.org/resource/"
void,"http://rdfs.org/ns/void#"
ont,"http://purl.org/net/ns/ontology-annot#"
onto,"http://www.ontotext.com/"
sio,"http://semanticscience.org/resource/"
schema,"http://schema.org/"
obo,"http://purl.obolibrary.org/obo/"
dcterm,"http://purl.org/dc/terms/"
bf,"http://id.loc.gov/ontologies/bibframe/"
search,"http://sindice.com/vocab/search#"
sd,"http://www.w3.org/ns/sparql-service-description#"
frbr,"http://purl.org/vocab/frbr/core#"
stat,"http://www.w3.org/ns/posix/stat#"
vcard,"http://www.w3.org/2006/vcard/ns#"
commerce,"http://search.yahoo.com/searchmonkey/commerce/"
bibo,"http://purl.org/ontology/bibo/"
dbr,"http://dbpedia.org/resource/"
rss,"http://purl.org/rss/1.0/"
pto,"http://www.productontology.org/id/"
gldp,"http://www.w3.org/ns/people#"
geonames,"http://www.geonames.org/ontology#"
oo,"http://purl.org/openorg/"
fb,"http://rdf.freebase.com/ns/"
event,"http://purl.org/NET/c4dm/event.owl#"
content,"http://purl.org/rss/1.0/modules/content/"
wd,"http://www.wikidata.org/entity/"
dcmit,"http://purl.org/dc/dcmitype/"
vann,"http://purl.org/vocab/vann/"
gen,"http://purl.org/gen/0.1#"
cc,"http://creativecommons.org/ns#"
http,"http://www.w3.org/2011/http#"
doap,"http://usefulinc.com/ns/doap#"
dbpprop,"http://dbpedia.org/property/"
rr,"http://www.w3.org/ns/r2rml#"
swrc,"http://swrc.ontoware.org/ontology#"
drugbank,"http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/"
md,"http://www.w3.org/ns/md#"
nie,"http://www.semanticdesktop.org/ontologies/2007/01/19/nie#"
sc,"https://schema.org/"
prog,"http://purl.org/prog/"
wot,"http://xmlns.com/wot/0.1/"
cv,"http://rdfs.org/resume-rdf/"
fn,"http://www.w3.org/2005/xpath-functions#"
ma,"http://www.w3.org/ns/ma-ont#"
akt,"http://www.aktors.org/ontology/portal#"
aiiso,"http://purl.org/vocab/aiiso/schema#"
as,"https://www.w3.org/ns/activitystreams#"
tl,"http://purl.org/NET/c4dm/timeline.owl#"
swc,"http://data.semanticweb.org/ns/swc/ontology#"
leaks,"https://cuzin.com/"
daia,"http://purl.org/ontology/daia/"
crm,"http://www.cidoc-crm.org/cidoc-crm/"
ical,"http://www.w3.org/2002/12/cal/ical#"
ov,"http://open.vocab.org/terms/"
rel,"http://purl.org/vocab/relationship/"
xhtml,"http://www.w3.org/1999/xhtml#"
bio,"http://purl.org/vocab/bio/0.1/"
earl,"http://www.w3.org/ns/earl#"
vs,"http://www.w3.org/2003/06/sw-vocab-status/ns#"
mo,"http://purl.org/ontology/mo/"
rdfg,"http://www.w3.org/2004/03/trix/rdfg-1/"
dv,"http://rdf.data-vocabulary.org/#"
marcrel,"http://id.loc.gov/vocabulary/relators/"
co,"http://purl.org/ontology/co/core#"
xhv,"http://www.w3.org/1999/xhtml/vocab#"
cs,"http://purl.org/vocab/changeset/schema#"
ad,"http://schemas.talis.com/2005/address/schema#"
afn,"http://jena.apache.org/ARQ/function#"
dc11,"http://purl.org/dc/elements/1.1/"
og,"http://opengraphprotocol.org/schema/"
unit,"http://qudt.org/vocab/unit/"
bill,"http://www.rdfabout.com/rdf/schema/usbill/"
musim,"http://purl.org/ontology/similarity/"
prop,"http://dbpedia.org/property/"
test2,"http://this.invalid/test2#"
air,"http://dig.csail.mit.edu/TAMI/2007/amord/air#"
factbook,"http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#"
xs,"http://www.w3.org/2001/XMLSchema#"
mu,"http://mu.semte.ch/vocabularies/core/"
log,"http://www.w3.org/2000/10/swap/log#"
book,"http://purl.org/NET/book/vocab#"
dcq,"http://purl.org/dc/qualifiers/1.0/"
xfn,"http://gmpg.org/xfn/11#"
d2rq,"http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#"
media,"http://search.yahoo.com/searchmonkey/media/"
dbowl,"http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#"
ir,"http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#"
cal,"http://www.w3.org/2002/12/cal/ical#"
xf,"http://www.w3.org/2002/xforms/"
reco,"http://purl.org/reco#"
cld,"http://purl.org/cld/terms/"
biblio,"http://purl.org/net/biblio#"
botany,"http://purl.org/NET/biol/botany#"
ome,"http://purl.org/ontomedia/core/expression#"
rev,"http://purl.org/stuff/rev#"
tag,"http://www.holygoat.co.uk/owl/redwood/0.1/tags/"
sism,"http://purl.oclc.org/NET/sism/0.1/"
ctag,"http://commontag.org/ns#"
dir,"http://schemas.talis.com/2005/dir/schema#"
days,"http://ontologi.es/days#"
af,"http://purl.org/ontology/af/"
rif,"http://www.w3.org/2007/rif#"
qudt,"http://qudt.org/schema/qudt/"
osag,"http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#"
admin,"http://webns.net/mvcb/"
tzont,"http://www.w3.org/2006/timezone#"
sr,"http://www.openrdf.org/config/repository/sail#"
xmp,"http://ns.adobe.com/xap/1.0/"
cmp,"http://www.ontologydesignpatterns.org/cp/owl/componency.owl#"
math,"http://www.w3.org/2000/10/swap/math#"
ok,"http://okkam.org/terms#"
pc,"http://purl.org/procurement/public-contracts#"
dcn,"http://www.w3.org/2007/uwa/context/deliverycontext.owl#"
myspace,"http://purl.org/ontology/myspace#"
memo,"http://ontologies.smile.deri.ie/2009/02/27/memo#"
dcam,"http://purl.org/dc/dcam/"
lomvoc,"http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#"
jdbc,"http://d2rq.org/terms/jdbc/"
time,"http://www.w3.org/2006/time#"
giving,"http://ontologi.es/giving#"
cfp,"http://sw.deri.org/2005/08/conf/cfp.owl#"
swanq,"http://purl.org/swan/1.2/qualifiers/"
sdmx,"http://purl.org/linked-data/sdmx#"
omn,"http://open-multinet.info/ontology/omn#"
swande,"http://purl.org/swan/1.2/discourse-elements/"
owlim,"http://www.ontotext.com/trree/owlim#"
lyou,"http://purl.org/linkingyou/"
gn,"http://www.geonames.org/ontology#"
con,"http://www.w3.org/2000/10/swap/pim/contact#"
cyc,"http://sw.opencyc.org/concept/"
skosxl,"http://www.w3.org/2008/05/skos-xl#"
oa,"http://www.w3.org/ns/oa#"
adms,"http://www.w3.org/ns/adms#"
nif,"http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#"
cdm,"http://publications.europa.eu/ontology/cdm#"
